,pu,do,count
1401,249,261,104
1402,261,4,117
1403,261,12,13
1404,261,13,209
1405,261,45,190
1406,261,48,358
1407,261,50,175
1408,261,68,260
1409,261,79,363
1410,261,87,228
1411,261,88,125
1412,261,90,113
1413,261,100,183
1414,261,107,172
1415,261,113,122
1416,261,114,220
1417,261,125,83
1418,261,137,99
1419,261,144,357
1420,261,148,373
1421,261,158,251
1422,261,161,302
1423,261,162,157
1424,261,163,170
1425,261,164,279
1426,261,170,163
1427,261,186,219
1428,261,209,91
1429,261,211,241
1430,261,224,48
1431,261,229,127
1432,261,230,549
1433,261,231,627
1434,261,232,199
1435,261,233,140
1436,261,234,220
1437,261,246,319
1438,261,249,269
